name,latitude,longitude,weight,type
466,41.87892,-87.7551,539,potential
467,41.88392,-87.7551,585,potential
468,41.88892,-87.7551,633,potential
469,41.89392,-87.7551,740,potential
470,41.89892,-87.7551,798,potential
471,41.90392,-87.7551,870,potential
472,41.90892,-87.7551,933,potential
473,41.91392,-87.7551,997,potential
474,41.91892,-87.7551,1048,potential
475,41.92392,-87.7551,1067,potential
476,41.92892,-87.7551,1164,potential
477,41.93392,-87.7551,1195,potential
478,41.93892,-87.7551,1110,potential
479,41.94392,-87.7551,1232,potential
480,41.94892,-87.7551,1141,potential
481,41.95392,-87.7551,1117,potential
482,41.95892,-87.7551,1049,potential
483,41.96392,-87.7551,1060,potential
484,41.96892,-87.7551,1052,potential
485,41.97392,-87.7551,1089,potential
486,41.97892,-87.7551,1135,potential
487,41.98392,-87.7551,1221,potential
488,41.98892,-87.7551,1196,potential
489,41.99392,-87.7551,1218,potential
490,41.77892,-87.7501,1123,potential
491,41.78392,-87.7501,1159,potential
492,41.78892,-87.7501,1018,potential
493,41.79392,-87.7501,1030,potential
494,41.79892,-87.7501,882,potential
495,41.80392,-87.7501,816,potential
496,41.80892,-87.7501,801,potential
497,41.81392,-87.7501,599,potential
498,41.86892,-87.7501,457,potential
499,41.87392,-87.7501,516,potential
500,41.87892,-87.7501,514,potential
501,41.88392,-87.7501,565,potential
502,41.88892,-87.7501,655,potential
503,41.89392,-87.7501,713,potential
504,41.89892,-87.7501,778,potential
505,41.90392,-87.7501,824,potential
506,41.90892,-87.7501,889,potential
507,41.91392,-87.7501,956,potential
508,41.91892,-87.7501,1028,potential
509,41.92392,-87.7501,1047,potential
510,41.92892,-87.7501,1143,potential
511,41.93392,-87.7501,1186,potential
512,41.93892,-87.7501,1065,potential
513,41.94392,-87.7501,1187,potential
514,41.94892,-87.7501,1199,potential
515,41.95392,-87.7501,1040,potential
516,41.95892,-87.7501,988,potential
517,41.96392,-87.7501,931,potential
518,41.96892,-87.7501,1036,potential
519,41.97392,-87.7501,1011,potential
520,41.97892,-87.7501,1115,potential
521,41.98392,-87.7501,1047,potential
522,41.98892,-87.7501,1194,potential
523,41.99392,-87.7501,1222,potential
524,41.77892,-87.7451,1170,potential
525,41.78392,-87.7451,1187,potential
526,41.78892,-87.7451,1125,potential
527,41.79392,-87.7451,1060,potential
528,41.79892,-87.7451,840,potential
529,41.80392,-87.7451,790,potential
530,41.80892,-87.7451,730,potential
531,41.81392,-87.7451,641,potential
532,41.86892,-87.7451,407,potential
533,41.87392,-87.7451,391,potential
534,41.87892,-87.7451,443,potential
535,41.88392,-87.7451,516,potential
536,41.88892,-87.7451,612,potential
