latitude,longitude,weight,grouping,type
41.73892,-87.5701,3,14,trauma
41.69892,-87.5701,3,14,trauma
41.69392,-87.5751,3,14,trauma
41.71892,-87.5801,3,14,trauma
41.73892,-87.5851,3,14,trauma
41.72892,-87.5901,3,14,trauma
41.73392,-87.5901,3,14,trauma
41.73892,-87.5901,3,14,trauma
41.74392,-87.5901,3,14,trauma
41.74892,-87.5901,3,14,trauma
41.70392,-87.5851,3,14,trauma
41.70892,-87.5851,3,14,trauma
41.71392,-87.5851,3,14,trauma
41.71892,-87.5851,3,14,trauma
41.72392,-87.5851,3,14,trauma
41.72892,-87.5851,3,14,trauma
41.73392,-87.5851,3,14,trauma
41.74392,-87.5851,3,14,trauma
41.66892,-87.5801,3,14,trauma
41.67392,-87.5801,3,14,trauma
41.67892,-87.5801,3,14,trauma
41.68392,-87.5801,3,14,trauma
41.68892,-87.5801,3,14,trauma
41.69392,-87.5801,3,14,trauma
41.69892,-87.5801,3,14,trauma
41.70392,-87.5801,3,14,trauma
41.70892,-87.5801,3,14,trauma
41.71392,-87.5801,3,14,trauma
41.72392,-87.5801,3,14,trauma
41.66892,-87.5751,3,14,trauma
41.67392,-87.5751,3,14,trauma
41.67892,-87.5751,3,14,trauma
41.68392,-87.5751,3,14,trauma
41.68892,-87.5751,3,14,trauma
41.69892,-87.5751,3,14,trauma
41.65892,-87.5751,3,14,trauma
41.65892,-87.5801,3,14,trauma
41.69392,-87.5851,3,14,trauma
41.71892,-87.5901,3,14,trauma
41.68892,-87.5951,3,14,trauma
41.69392,-87.5951,3,14,trauma
41.69892,-87.5951,3,14,trauma
41.70392,-87.5951,3,14,trauma
41.70892,-87.5951,3,14,trauma
41.71392,-87.5951,3,14,trauma
41.71892,-87.5951,3,14,trauma
41.72392,-87.5951,3,14,trauma
41.72892,-87.5951,3,14,trauma
41.73392,-87.5951,3,14,trauma
41.73892,-87.5951,3,14,trauma
41.74392,-87.5951,3,14,trauma
41.68392,-87.5901,3,14,trauma
41.68892,-87.5901,3,14,trauma
41.69392,-87.5901,3,14,trauma
41.69892,-87.5901,3,14,trauma
41.70392,-87.5901,3,14,trauma
41.70892,-87.5901,3,14,trauma
41.71392,-87.5901,3,14,trauma
41.72392,-87.5901,3,14,trauma
41.82392,-87.5901,3,14,trauma
41.64892,-87.5851,3,14,trauma
41.65392,-87.5851,3,14,trauma
41.65892,-87.5851,3,14,trauma
41.66392,-87.5851,3,14,trauma
41.66892,-87.5851,3,14,trauma
41.67392,-87.5851,3,14,trauma
41.67892,-87.5851,3,14,trauma
41.68392,-87.5851,3,14,trauma
41.68892,-87.5851,3,14,trauma
41.69892,-87.5851,3,14,trauma
41.80392,-87.5851,3,14,trauma
41.81392,-87.5851,3,14,trauma
41.81892,-87.5851,3,14,trauma
41.64892,-87.5801,3,14,trauma
41.65392,-87.5801,3,14,trauma
41.66392,-87.5801,3,14,trauma
41.79392,-87.5851,3,14,trauma
41.81392,-87.5901,3,14,trauma
41.67392,-87.5901,3,14,trauma
41.67892,-87.5951,3,14,trauma
41.89392,-87.6051,3,14,trauma
41.64892,-87.6001,3,14,trauma
41.65392,-87.6001,3,14,trauma
41.65892,-87.6001,3,14,trauma
41.66392,-87.6001,3,14,trauma
41.66892,-87.6001,3,14,trauma
41.67392,-87.6001,3,14,trauma
41.67892,-87.6001,3,14,trauma
41.68392,-87.6001,3,14,trauma
41.68892,-87.6001,3,14,trauma
41.69392,-87.6001,3,14,trauma
41.69892,-87.6001,3,14,trauma
41.70392,-87.6001,3,14,trauma
41.70892,-87.6001,3,14,trauma
41.71392,-87.6001,3,14,trauma
41.83892,-87.6001,3,14,trauma
41.64892,-87.5951,3,14,trauma
41.65392,-87.5951,3,14,trauma
41.65892,-87.5951,3,14,trauma
41.66392,-87.5951,3,14,trauma
41.66892,-87.5951,3,14,trauma
41.67392,-87.5951,3,14,trauma
41.68392,-87.5951,3,14,trauma
41.81392,-87.5951,3,14,trauma
41.81892,-87.5951,3,14,trauma
41.82392,-87.5951,3,14,trauma
41.82892,-87.5951,3,14,trauma
41.83392,-87.5951,3,14,trauma
41.64892,-87.5901,3,14,trauma
41.65392,-87.5901,3,14,trauma
41.65892,-87.5901,3,14,trauma
41.66392,-87.5901,3,14,trauma
41.66892,-87.5901,3,14,trauma
41.67892,-87.5901,3,14,trauma
41.78892,-87.5901,3,14,trauma
41.79392,-87.5901,3,14,trauma
41.79892,-87.5901,3,14,trauma
41.80392,-87.5901,3,14,trauma
41.80892,-87.5901,3,14,trauma
41.81892,-87.5901,3,14,trauma
41.77892,-87.5901,3,14,trauma
41.80392,-87.5951,3,14,trauma
41.82892,-87.6001,3,14,trauma
41.85892,-87.6051,3,14,trauma
41.70392,-87.6051,3,14,trauma
41.69892,-87.6101,3,14,trauma
41.85892,-87.6101,3,14,trauma
41.86392,-87.6101,3,14,trauma
41.86892,-87.6101,3,14,trauma
41.87892,-87.6101,3,14,trauma
41.89392,-87.6101,3,14,trauma
41.64892,-87.6051,3,14,trauma
41.65392,-87.6051,3,14,trauma
41.65892,-87.6051,3,14,trauma
41.66392,-87.6051,3,14,trauma
41.66892,-87.6051,3,14,trauma
41.67392,-87.6051,3,14,trauma
41.67892,-87.6051,3,14,trauma
41.68392,-87.6051,3,14,trauma
41.68892,-87.6051,3,14,trauma
41.69392,-87.6051,3,14,trauma
41.69892,-87.6051,3,14,trauma
41.82392,-87.6051,3,14,trauma
41.82892,-87.6051,3,14,trauma
41.83392,-87.6051,3,14,trauma
41.83892,-87.6051,3,14,trauma
41.84392,-87.6051,3,14,trauma
41.84892,-87.6051,3,14,trauma
41.85392,-87.6051,3,14,trauma
41.86392,-87.6051,3,14,trauma
41.77892,-87.6001,3,14,trauma
41.78392,-87.6001,3,14,trauma
41.78892,-87.6001,3,14,trauma
41.79392,-87.6001,3,14,trauma
41.79892,-87.6001,3,14,trauma
41.80392,-87.6001,3,14,trauma
41.80892,-87.6001,3,14,trauma
41.81392,-87.6001,3,14,trauma
41.81892,-87.6001,3,14,trauma
41.82392,-87.6001,3,14,trauma
41.83392,-87.6001,3,14,trauma
41.77892,-87.5951,3,14,trauma
41.78392,-87.5951,3,14,trauma
41.78892,-87.5951,3,14,trauma
41.79392,-87.5951,3,14,trauma
41.79892,-87.5951,3,14,trauma
41.80892,-87.5951,3,14,trauma
41.76892,-87.5951,3,14,trauma
41.76892,-87.6001,3,14,trauma
41.81392,-87.6051,3,14,trauma
41.84892,-87.6101,3,14,trauma
41.68892,-87.6101,3,14,trauma
41.66892,-87.6151,3,14,trauma
41.67392,-87.6151,3,14,trauma
41.67892,-87.6151,3,14,trauma
41.68392,-87.6151,3,14,trauma
41.68892,-87.6151,3,14,trauma
41.82892,-87.6151,3,14,trauma
41.83392,-87.6151,3,14,trauma
41.83892,-87.6151,3,14,trauma
41.84392,-87.6151,3,14,trauma
41.84892,-87.6151,3,14,trauma
41.85392,-87.6151,3,14,trauma
41.85892,-87.6151,3,14,trauma
41.86392,-87.6151,3,14,trauma
41.87892,-87.6151,3,14,trauma
41.88392,-87.6151,3,14,trauma
41.64892,-87.6101,3,14,trauma
41.65392,-87.6101,3,14,trauma
41.65892,-87.6101,3,14,trauma
41.66392,-87.6101,3,14,trauma
41.66892,-87.6101,3,14,trauma
41.67392,-87.6101,3,14,trauma
41.67892,-87.6101,3,14,trauma
41.68392,-87.6101,3,14,trauma
41.69392,-87.6101,3,14,trauma
41.81392,-87.6101,3,14,trauma
41.81892,-87.6101,3,14,trauma
41.82392,-87.6101,3,14,trauma
41.82892,-87.6101,3,14,trauma
41.83392,-87.6101,3,14,trauma
41.83892,-87.6101,3,14,trauma
41.84392,-87.6101,3,14,trauma
41.85392,-87.6101,3,14,trauma
41.76392,-87.6051,3,14,trauma
41.76892,-87.6051,3,14,trauma
41.77392,-87.6051,3,14,trauma
41.77892,-87.6051,3,14,trauma
41.78392,-87.6051,3,14,trauma
41.78892,-87.6051,3,14,trauma
41.79392,-87.6051,3,14,trauma
41.79892,-87.6051,3,14,trauma
41.80392,-87.6051,3,14,trauma
41.80892,-87.6051,3,14,trauma
41.81892,-87.6051,3,14,trauma
41.74392,-87.6001,3,14,trauma
41.74892,-87.6001,3,14,trauma
41.75392,-87.6001,3,14,trauma
41.75892,-87.6001,3,14,trauma
41.76392,-87.6001,3,14,trauma
41.77392,-87.6001,3,14,trauma
41.73392,-87.6001,3,14,trauma
41.75392,-87.6051,3,14,trauma
41.80392,-87.6101,3,14,trauma
41.81892,-87.6151,3,14,trauma
41.65892,-87.6151,3,14,trauma
41.86892,-87.6251,3,14,trauma
41.87392,-87.6251,3,14,trauma
41.87892,-87.6251,3,14,trauma
41.88392,-87.6251,3,14,trauma
41.90892,-87.6251,3,14,trauma
41.91392,-87.6251,3,14,trauma
41.66392,-87.6201,3,14,trauma
41.66892,-87.6201,3,14,trauma
41.80392,-87.6201,3,14,trauma
41.80892,-87.6201,3,14,trauma
41.81392,-87.6201,3,14,trauma
41.81892,-87.6201,3,14,trauma
41.82392,-87.6201,3,14,trauma
41.82892,-87.6201,3,14,trauma
41.83392,-87.6201,3,14,trauma
41.83892,-87.6201,3,14,trauma
41.84392,-87.6201,3,14,trauma
41.84892,-87.6201,3,14,trauma
41.85392,-87.6201,3,14,trauma
41.85892,-87.6201,3,14,trauma
41.86392,-87.6201,3,14,trauma
41.86892,-87.6201,3,14,trauma
41.87392,-87.6201,3,14,trauma
41.87892,-87.6201,3,14,trauma
41.64892,-87.6151,3,14,trauma
41.65392,-87.6151,3,14,trauma
41.66392,-87.6151,3,14,trauma
41.78392,-87.6151,3,14,trauma
41.78892,-87.6151,3,14,trauma
41.79392,-87.6151,3,14,trauma
41.79892,-87.6151,3,14,trauma
41.80392,-87.6151,3,14,trauma
41.80892,-87.6151,3,14,trauma
41.81392,-87.6151,3,14,trauma
41.82392,-87.6151,3,14,trauma
41.75392,-87.6101,3,14,trauma
41.75892,-87.6101,3,14,trauma
41.76392,-87.6101,3,14,trauma
41.76892,-87.6101,3,14,trauma
41.77392,-87.6101,3,14,trauma
41.77892,-87.6101,3,14,trauma
41.78392,-87.6101,3,14,trauma
41.78892,-87.6101,3,14,trauma
41.79392,-87.6101,3,14,trauma
41.79892,-87.6101,3,14,trauma
41.80892,-87.6101,3,14,trauma
41.72892,-87.6051,3,14,trauma
41.73392,-87.6051,3,14,trauma
41.73892,-87.6051,3,14,trauma
41.74392,-87.6051,3,14,trauma
41.74892,-87.6051,3,14,trauma
41.75892,-87.6051,3,14,trauma
41.71892,-87.6051,3,14,trauma
41.74392,-87.6101,3,14,trauma
41.77392,-87.6151,3,14,trauma
41.79392,-87.6201,3,14,trauma
41.85892,-87.6251,3,14,trauma
41.82892,-87.6301,3,14,trauma
41.83392,-87.6301,3,14,trauma
41.83892,-87.6301,3,14,trauma
41.84392,-87.6301,3,14,trauma
41.84892,-87.6301,3,14,trauma
41.85392,-87.6301,3,14,trauma
41.85892,-87.6301,3,14,trauma
41.86392,-87.6301,3,14,trauma
41.86892,-87.6301,3,14,trauma
41.87392,-87.6301,3,14,trauma
41.87892,-87.6301,3,14,trauma
41.88392,-87.6301,3,14,trauma
41.88892,-87.6301,3,14,trauma
41.76892,-87.6251,3,14,trauma
41.77392,-87.6251,3,14,trauma
41.77892,-87.6251,3,14,trauma
41.78392,-87.6251,3,14,trauma
41.78892,-87.6251,3,14,trauma
41.79392,-87.6251,3,14,trauma
41.79892,-87.6251,3,14,trauma
41.80392,-87.6251,3,14,trauma
41.80892,-87.6251,3,14,trauma
41.81392,-87.6251,3,14,trauma
41.81892,-87.6251,3,14,trauma
41.82392,-87.6251,3,14,trauma
41.82892,-87.6251,3,14,trauma
41.83392,-87.6251,3,14,trauma
41.83892,-87.6251,3,14,trauma
41.84392,-87.6251,3,14,trauma
41.84892,-87.6251,3,14,trauma
41.85392,-87.6251,3,14,trauma
41.86392,-87.6251,3,14,trauma
41.75892,-87.6201,3,14,trauma
41.76392,-87.6201,3,14,trauma
41.76892,-87.6201,3,14,trauma
41.77392,-87.6201,3,14,trauma
41.77892,-87.6201,3,14,trauma
41.78392,-87.6201,3,14,trauma
41.78892,-87.6201,3,14,trauma
41.79892,-87.6201,3,14,trauma
41.72392,-87.6151,3,14,trauma
41.72892,-87.6151,3,14,trauma
41.73392,-87.6151,3,14,trauma
41.73892,-87.6151,3,14,trauma
41.74392,-87.6151,3,14,trauma
41.74892,-87.6151,3,14,trauma
41.75392,-87.6151,3,14,trauma
41.75892,-87.6151,3,14,trauma
41.76392,-87.6151,3,14,trauma
41.76892,-87.6151,3,14,trauma
41.77892,-87.6151,3,14,trauma
41.71392,-87.6151,3,14,trauma
41.74892,-87.6201,3,14,trauma
41.75892,-87.6251,3,14,trauma
41.81892,-87.6301,3,14,trauma
41.88392,-87.6401,3,14,trauma
41.88892,-87.6401,3,14,trauma
41.89392,-87.6401,3,14,trauma
41.81892,-87.6351,3,14,trauma
41.82392,-87.6351,3,14,trauma
41.82892,-87.6351,3,14,trauma
41.83392,-87.6351,3,14,trauma
41.83892,-87.6351,3,14,trauma
41.84392,-87.6351,3,14,trauma
41.84892,-87.6351,3,14,trauma
41.85392,-87.6351,3,14,trauma
41.85892,-87.6351,3,14,trauma
41.86392,-87.6351,3,14,trauma
41.86892,-87.6351,3,14,trauma
41.87392,-87.6351,3,14,trauma
41.87892,-87.6351,3,14,trauma
41.88392,-87.6351,3,14,trauma
41.88892,-87.6351,3,14,trauma
41.72892,-87.6301,3,14,trauma
41.73392,-87.6301,3,14,trauma
41.73892,-87.6301,3,14,trauma
41.74392,-87.6301,3,14,trauma
41.74892,-87.6301,3,14,trauma
41.75392,-87.6301,3,14,trauma
41.75892,-87.6301,3,14,trauma
41.76392,-87.6301,3,14,trauma
41.76892,-87.6301,3,14,trauma
41.77392,-87.6301,3,14,trauma
41.77892,-87.6301,3,14,trauma
41.78392,-87.6301,3,14,trauma
41.78892,-87.6301,3,14,trauma
41.79392,-87.6301,3,14,trauma
41.79892,-87.6301,3,14,trauma
41.80392,-87.6301,3,14,trauma
41.80892,-87.6301,3,14,trauma
41.81392,-87.6301,3,14,trauma
41.82392,-87.6301,3,14,trauma
41.72392,-87.6251,3,14,trauma
41.72892,-87.6251,3,14,trauma
41.73392,-87.6251,3,14,trauma
41.73892,-87.6251,3,14,trauma
41.74392,-87.6251,3,14,trauma
41.74892,-87.6251,3,14,trauma
41.75392,-87.6251,3,14,trauma
41.76392,-87.6251,3,14,trauma
41.69892,-87.6201,3,14,trauma
41.70392,-87.6201,3,14,trauma
41.70892,-87.6201,3,14,trauma
41.71392,-87.6201,3,14,trauma
41.71892,-87.6201,3,14,trauma
41.72392,-87.6201,3,14,trauma
41.72892,-87.6201,3,14,trauma
41.73392,-87.6201,3,14,trauma
