,"  <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6135662,41.8024886,0</coordinates></Point></Placemark>",,,
70,"4200 W. Irving Park Rd. Chicago, IL",41.9536257,-87.7324512," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7324512,41.9536257,0</coordinates></Point></Placemark>"
71,"1200 W. 97th St. Chicago, IL",41.7181334,-87.6528751," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6528751,41.7181334,0</coordinates></Point></Placemark>"
72,"1100 N. Menard Ave. Chicago, IL",41.900385,-87.770791," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.770791,41.900385,0</coordinates></Point></Placemark>"
73,"3300 W. Irving Park Rd. Chicago, IL",41.9540867,-87.7106446," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7106446,41.9540867,0</coordinates></Point></Placemark>"
74,"1700 W. 44th St. Chicago, IL",41.8140345,-87.6675334," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6675334,41.8140345,0</coordinates></Point></Placemark>"
75,"5000 S. Evans Ave. Chicago, IL",41.8031274,-87.607935," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.607935,41.8031274,0</coordinates></Point></Placemark>"
76,"11800 S. Harvard Ave. Chicago, IL",41.6797297,-87.6311483," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6311483,41.6797297,0</coordinates></Point></Placemark>"
77,"600 W. 117th St. Chicago, IL",41.6818918,-87.637231," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.637231,41.6818918,0</coordinates></Point></Placemark>"
78,"2500 W. Division St. Chicago, IL",41.903296,-87.689658," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.689658,41.903296,0</coordinates></Point></Placemark>"
79,"5200 S. Harper Ave. Chicago, IL",41.800831,-87.589509," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.589509,41.800831,0</coordinates></Point></Placemark>"
80,"1300 S. Morgan St. Chicago, IL",41.865388,-87.651289," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.651289,41.865388,0</coordinates></Point></Placemark>"
81,"6800 S. Cornell Ave. Chicago, IL",41.771343,-87.58536," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.58536,41.771343,0</coordinates></Point></Placemark>"
82,"1900 S. Drake Ave. Chicago, IL",41.8547889,-87.7137238," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7137238,41.8547889,0</coordinates></Point></Placemark>"
83,"300 E. Kensington Ave. Chicago, IL",41.684481,-87.616566," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.616566,41.684481,0</coordinates></Point></Placemark>"
84,"5000 W. Belden Ave. Chicago, IL",41.9223726,-87.7511767," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7511767,41.9223726,0</coordinates></Point></Placemark>"
85,"4700 S. Prairie Ave. Chicago, IL",41.809137,-87.620056," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.620056,41.809137,0</coordinates></Point></Placemark>"
86,"10200 S. Green St. Chicago, IL",41.708567,-87.6444269," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6444269,41.708567,0</coordinates></Point></Placemark>"
87,"2800 E. 76th St. Chicago, IL",41.758297,-87.556802," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.556802,41.758297,0</coordinates></Point></Placemark>"
88,"6500 S. Green St. Chicago, IL",41.77596,-87.6461684," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6461684,41.77596,0</coordinates></Point></Placemark>"
89,"1700 W. 79th St. Chicago, IL",41.7505529,-87.666037," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.666037,41.7505529,0</coordinates></Point></Placemark>"
90,"400 E. 79th St. Chicago, IL",41.751125,-87.6149489," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6149489,41.751125,0</coordinates></Point></Placemark>"
91,"200 W. 93rd St. Chicago, IL",41.7253291,-87.6290466," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6290466,41.7253291,0</coordinates></Point></Placemark>"
92,"7700 S. Damen Ave. Chicago, IL",41.753744,-87.673584," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.673584,41.753744,0</coordinates></Point></Placemark>"
93,"6300 S. May St. Chicago, IL",41.7796208,-87.653296," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.653296,41.7796208,0</coordinates></Point></Placemark>"
94,"9900 S. Walden Pkwy Chicago, IL",41.7138819,-87.6676614," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6676614,41.7138819,0</coordinates></Point></Placemark>"
95,"8600 S. Ashland Ave. Chicago, IL",41.737028,-87.663479," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.663479,41.737028,0</coordinates></Point></Placemark>"
96,"7800 S. Langley Ave. Chicago, IL",41.7530339,-87.6077277," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6077277,41.7530339,0</coordinates></Point></Placemark>"
97,"200 N. Mayfield Ave. Chicago, IL",41.884292,-87.772342," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.772342,41.884292,0</coordinates></Point></Placemark>"
98,"1200 S. Kolin Ave. Chicago, IL",41.8660286,-87.733753," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.733753,41.8660286,0</coordinates></Point></Placemark>"
99,"4800 W. Iowa St. Chicago, IL",41.896835,-87.7458617," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7458617,41.896835,0</coordinates></Point></Placemark>"
100,"6800 S. Lowe St. Chicago, IL",41.770565,-87.640548," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.640548,41.770565,0</coordinates></Point></Placemark>"
101,"300 S. Cicero Ave. Chicago, IL",41.876652,-87.7455," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7455,41.876652,0</coordinates></Point></Placemark>"
102,"3100 S. Rhodes Ave. Chicago, IL",41.838452,-87.6134946," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6134946,41.838452,0</coordinates></Point></Placemark>"
103,"4900 N. Whipple St. Chicago, IL",41.97047,-87.705204," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.705204,41.97047,0</coordinates></Point></Placemark>"
104,"4300 S. Paulina St. Chicago, IL",41.815812,-87.6675933," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6675933,41.815812,0</coordinates></Point></Placemark>"
105,"7100 S. Oakley Ave. Chicago, IL",41.7647275,-87.6807116," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6807116,41.7647275,0</coordinates></Point></Placemark>"
106,"7100 S. Oakley Ave. Chicago, IL",41.7647275,-87.6807116," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6807116,41.7647275,0</coordinates></Point></Placemark>"
107,"400 N. Central Ave. Chicago, IL",41.8877223,-87.7651288," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7651288,41.8877223,0</coordinates></Point></Placemark>"
108,"1100 N. Lawndale Ave. Chicago, IL",41.90103,-87.7192929," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7192929,41.90103,0</coordinates></Point></Placemark>"
109,"1400 E. 52nd St. Chicago, IL",41.8009796,-87.5917891," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5917891,41.8009796,0</coordinates></Point></Placemark>"
110,"7300 S. Dante Ave. Chicago, IL",41.762254,-87.590011," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.590011,41.762254,0</coordinates></Point></Placemark>"
111,"1000 N. North Branch St. Chicago, IL",41.9007622,-87.6517549," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6517549,41.9007622,0</coordinates></Point></Placemark>"
112,"12100 S. Indiana Ave. Chicago, IL",41.674252,-87.618088," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.618088,41.674252,0</coordinates></Point></Placemark>"
113,"11600 S. Vincennes Ave. Chicago, IL",41.6834281,-87.6684739," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6684739,41.6834281,0</coordinates></Point></Placemark>"
114,"12200 S. Halsted St. Chicago, IL",41.67223,-87.642099," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.642099,41.67223,0</coordinates></Point></Placemark>"
115,"1 W. 107th St. Chicago, IL",41.69986,-87.6233246," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6233246,41.69986,0</coordinates></Point></Placemark>"
116,"1000 W. 75th St. Chicago, IL",41.7583138,-87.6490837," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6490837,41.7583138,0</coordinates></Point></Placemark>"
117,"7000 S. Normal Blvd. Chicago, IL",41.767002,-87.637531," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.637531,41.767002,0</coordinates></Point></Placemark>"
118,"1700 E. 79th St. Chicago, IL",41.751727,-87.583098," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.583098,41.751727,0</coordinates></Point></Placemark>"
119,"1700 W. 85th St. Chicago, IL",41.7394085,-87.6655961," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6655961,41.7394085,0</coordinates></Point></Placemark>"
120,"8400 S. Constance Ave. Chicago, IL",41.742326,-87.579799," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.579799,41.742326,0</coordinates></Point></Placemark>"
121,"5700 W. Bloomingdale Ave. Chicago, IL",41.9126478,-87.7680428," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7680428,41.9126478,0</coordinates></Point></Placemark>"
122,"6800 S. King Dr. Chicago, IL",41.771043,-87.6154592," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6154592,41.771043,0</coordinates></Point></Placemark>"
123,"4300 S. Oakley Ave. Chicago, IL",41.8156718,-87.6821854," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6821854,41.8156718,0</coordinates></Point></Placemark>"
124,"5100 S. Washtenaw Ave. Chicago, IL",41.801006,-87.6915717," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6915717,41.801006,0</coordinates></Point></Placemark>"
125,"400 W. 115th St. Chicago, IL",41.6852083,-87.6324954," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6324954,41.6852083,0</coordinates></Point></Placemark>"
126,"6300 S. Francisco Ave. Chicago, IL",41.7790555,-87.6958314," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6958314,41.7790555,0</coordinates></Point></Placemark>"
127,"3400 W. Lake St. Chicago, IL",41.884914,-87.711327," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.711327,41.884914,0</coordinates></Point></Placemark>"
128,"7200 S. Lafayette Ave. Chicago, IL",41.763527,-87.626842," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.626842,41.763527,0</coordinates></Point></Placemark>"
129,"5200 W. Quincy St. Chicago, IL",41.8777133,-87.7554234," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7554234,41.8777133,0</coordinates></Point></Placemark>"
130,"5700 S. Sangamon St. Chicago, IL",41.790449,-87.6490479," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6490479,41.790449,0</coordinates></Point></Placemark>"
131,"900 N. Long Ave. Chicago, IL",41.8967195,-87.7607261," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7607261,41.8967195,0</coordinates></Point></Placemark>"
